
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:175 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:176 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:180 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:181 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:182 BROKER/(7690:7701): El valor que lee es: 0.
